שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
עוטפים באהבה — ירושלים,קייטנות ופנאי,ארגון פנאי ואירועים,,ירושלים,,,"שמחים להזמינכם למסיבת ט""ו בשבט של 'עוטפים באהבה'. ליאת אהרוני וצוות עוטפים באהבה י-ם",chunk_018:j:10101,1
"אלי""ן — הדרכת שחייה",קייטנות ופנאי,הדרכת שחייה מותאמת,,ירושלים,,,"שחיה - ההדרכה באלי""ן טובה ומותאמת לספקטרום",chunk_017:j:7024,1
חוג אומנות במוזיאון ישראל — נוער על הרצף,קייטנות ופנאי,חוג אומנות,12-18,"מוזיאון ישראל, ירושלים",,,"חוג אומנות במוזיאון ישראל לבני נוער על הרצף, בימי רביעי 17:00-19:00, כיתות ז-יב. עלות שנתית 850 ש""ח.","m:19263, m:20025",1
מינהל קהילתי בוכרים / מקור ברוך — חוג לילדות,קייטנות ופנאי,חוגים,9-13,"בוכרים / מקור ברוך, ירושלים",0505760028,,מתגבשת קבוצה לפתיחת חוג במינהל קהילתי בוכרים / מקור ברוך. מיועד לילדות בתפקוד גבוה סביב גילאי 9-13. מחירים מסובסדים! מיועדות לתושבות ירושלים בלבד.,m:22810,1
"מסלול — חוגים לצמי""ד",קייטנות ופנאי,חוגים,ילדים ונוער,ירושלים,026494353,,בוקר מצוין. ישנם את החוגים במסלול. תנסי אצלם.,"m:18757, m:22176",1
חוגי מוזיאון ישראל,קייטנות ופנאי,חוגים למשתלבים,6-18,ירושלים,,,פעם היה אופק צעירים ובוטל. ממליצה מאוד על החוגים של מוזיאון ישראל,m:13423,1
"מינהל קהילתי פסגת זאב — חוגי צמי""ד",קייטנות ופנאי,"חוגים לצמי""ד",ילדים ונוער,"פסגת זאב, ירושלים",0549498351,,"החוגים מתחילים בשבוע שאחרי סוכות. פתוח לכל צפון ירושלים. אביאלה מחלקת צמי""ד מינהל קהילתי פסגת זאב.","m:19856, m:22882",1
חוות הנוער — כלביה טיפולית,קייטנות ופנאי,טיפול בעזרת בעלי חיים,ילדים ונוער,ירושלים (לא רמות),,,יש בחוות הנוער כלביה טיפולית נחמדה. אבל זה לא רמות.,m:18762,1
להקת ויסות חושי,קייטנות ופנאי,להקה מוזיקלית לאנשים על הרצף,מגוון,"מת""נ נווה עופר תל אביב / הופעות ירושלים",,,"להקת ויסות חושי מורכבת מנגנים על הרצף האוטיסטי, צרכים מיוחדים וכאלה שלא. ההופעה הקרובה בנוקטורנו ירושלים בספטמבר.",chunk_021:j:22443,1
"שק""ל - ניסן נתיב",קייטנות ופנאי,לימודי תיאטרון מותאמים,18+,ירושלים,,,ניסן נתיב – מסלול לימודי משחק של שנתיים בקבוצה ייחודית לבעלי מוגבלויות.,chunk_022:j:26780,1
מדעטק חיפה (נופשון),קייטנות ופנאי,מוזיאון מדע — נופשון הורה וילד,3-16,חיפה,052-3285065,,נופשון יום! הורה וילד.ה. במדעטק חיפה 13/11/21 לגילאי 6-18,m:11046,1
