שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
נוירולוג,אבחון והערכה,נוירולוג,18+ / 21+ / 3-6 / 6-13,ירושלים / צפת / רמות,02-5631544 / 050-2601066,m.facebook.com / https://m.facebook.com/story.php?story_fbid=961289724584366&id=111400666239947,"מאמר על נשים אוטיסטיות, דגש על מעל גיל 18. https://livriuta.com/autism-girls-women/ יש כמה פסקאות רלוונטיות לנושא הדוקטורט. המאמר לא אקדמי אבל יש הפניות למחקרים אקדמיים  הטיפוס האוטיסטי הנקבי והמסכה: https://link.spri... ||| מתוך הדף פייסבוק של משתלבים ברצף:  https://m.facebook.com/story.php?story_fbid=2264143490541137&id=1842577262697764  🚗 מי שמאובחן עם אוטיזם יכול להוציא רישיון? אז קודם כל- כן! עצם האבחנה, או ההכרה (בביטוח לאומי, ברווח...",m:11745,195
התפתחות הילד,אבחון והערכה,התפתחות הילד,3-6,מרכז / ירושלים / רמות,02-5905106 / 054-5378666,www.gov.il / https://www.gov.il/he/pages/cfb-135554425,"היי, דבר ראשון מאוחדת יכולים לקבל טיפול גם אצלנו ביחידת שקל–חרוב.  יש סניפים בהר הצופים, תלפיות, וגם מחוץ לירושלים... מטפלים מצוינים. אני גם עובדת שם וגם את מקבלת באופן פרטי בקליניקה בקרית מנחם. (מי שלא חבר מאוחדת ) ע... ||| *רגע לפני הרפורמה: כמה זמן ממתינים הילדים לטיפולים | שווים*משרד הבריאות מפרסם את נתוני משך התורים, שיהוו בסיס השוואה לביצועי הקופות ברפורמה בהתפתחות הילדhttps://shavvim.co.il/2020/08/25/רגע-לפני-הרפורמה-כמה-זמן-ממתיני...",m:48775,155
ועדת זכאות,אבחון והערכה,ועדת זכאות,13-16 / 3-6,מרכז / ירושלים / בית שמש,054-5597624 / 02-5635447,apps.education.gov.il / https://apps.education.gov.il/Mankal/Horaa.aspx?siduri=385,"הורים יקרים,    מעבירה לכם הודעה שקיבלנו בדבר פתיחת כיתת תקשורת בבית שמש:    כיתת תקשורת לבנות עם ASD  קבוצת הורים פועלת לפתיחת כיתת תקשורת דתית  בשנת הלימודים תשפ""ג.  מחפשים תלמידות עם אבחון ASD ווועדת זכאות עדכנית. ... ||| רוצים לערער על תוצאות ועדת אפיון וזכאות? עברתם ועדת זכאות, ולא קיבלתם מספיק שעות? גיליתם שבפילוח השעות ""עיגלו"" לכם את השעות כלמי מטה? ""נעלמו"" לכם שעות בפילוח? תגישו השגה כמה שיותר מהר! כל עוד הצו-על-תנאי של בג""ץ בתוקף...",m:12916,49
אבחון פסיכו-דידקטי,אבחון והערכה,אבחון פסיכו-דידקטי,6-13,ירושלים,,,"האמת גם אני אשמח להמלצה איפה לאבחן ילד בן 12 שככל שהוא גדל עולה הרושם שמדובר ביותר מאשר ADD שבו אובחן. יש לו הרבה סממנים של תקשורת וגם דיסלקציה. יש אבחון פסיכודידקטי משולב עם אבחון תקשורת? או עדיף אבחון אחר? מעדיפים כ... ||| בוקר טוב, הבת שלי בת 14 ואובחנה על הספקטרום לפני 3 חודשים. הגשתי תביעה לביטוח לאומי לאחרונה וצרפתי אבחון פסיכודידקטי, אבחון פסיכודיאגנוסטי ואבחון פסיכיאטרי. באבחון הפסיכודידקטי יש התיחסות לאבחון קודם שעברה לקראת כיתה ...",m:4647,12
ADOS,אבחון והערכה,ADOS,18+,אשדוד / ירושלים,050-5503009 / 050-9486969,accord.ravpage.co.il / https://accord.ravpage.co.il/autism101-sale,"*ירושלים*  נאוה גרינפילד מקום: ירושלים ואשדוד סוג אבחון: פסיכולוגי מייל: nava.greenfield@gmail.com טלפון: 02-536-2690, 050-402-5823, 050-550-3009  שגית בלומרוזן-סלע מיקום: ירושלים טלפון: 050-948-6969 מייל: sagitsela@h... ||| *הקשר בין אוטיזם למגדר: מה ידוע על בנות ועל נשים?* כבר מספר שנים עוסקת הספרות המחקרית בשאלה מדוע שכיחות האוטיזם גבוהה יותר בקרב בנים בהשוואה לבנות. זאת כאשר במרבית הסקרים שבוצעו בעולם בשנים האחרונות מספר הגברים או הבנ...",m:19209,11
ועדת השמה,אבחון והערכה,ועדת השמה,13-16 / 3-6,גוש דן / קרית אונו,053-7353520,,"שלום לכולם אני עו""ד רוני אורן, גרושה, אמא לבן 13 מיוחד בעל אבחנות מגוונות (הפרעות רגשיות חמורות, ASD, קשב וריכוז, תסמונת ADD חמורה ביותר...) ואחיו נ""ט בן 10. אני מקרית אונו ומגדלת את הילדים לבד 100% מהזמן (האב חי בחו""... ||| דוברות רשות המסים:  *הקלה להורים לילדים עם צרכים מיוחדים:* *יוכלו לקבל את נקודות הזיכוי ללא הצגת החלטת הוועדה לזכאות ואיפיון שקבעה זכאות לחינוך מיוחד בסל אישי*  שיתוף פעולה של רשות המסים עם משרד החינוך הביא להקלה משמע...",m:17382,9
מכון להתפתחות הילד,אבחון והערכה,מכון להתפתחות,18+ / 21+,ירושלים / ראשון לציון / שפלה,*2026 / 03-9634782,https://yeladim.sheba.co.il/267388 / yeladim.sheba.co.il,"הורים יקרים,  אנחנו שמחים לשתף אתכם בחוברת החדשה והמקיפה לשנת *2026*, שהופקה על־ידי *צוות המכון להתפתחות הילד בשיבא.*  החוברת ""יד ביד – המדריך השלם להורים שילדם אובחן"" נוצרה במיוחד כדי ללוות אתכם בתחילת הדרך ולספק מיד... ||| הורים יקרים,  אנחנו שמחים לשתף אתכם בחוברת החדשה והמקיפה לשנת *2026*, שהופקה על־ידי *צוות המכון להתפתחות הילד בשיבא.*  החוברת ""יד ביד – המדריך השלם להורים שילדם אובחן"" נוצרה במיוחד כדי ללוות אתכם בתחילת הדרך ולספק מיד...",m:49539,8
ועדת איפיון,אבחון והערכה,ועדת איפיון,3-6,אפרת / ירושלים,,,ערב טוב.למשהו במקרה יש ילד/ה בכיתת תקשורת בבית ספר רגיל  בירושלים שעבר השנה ועדת איפיון ?אשמח להתייעץ.תודה ||| שאלה לאמהות מאפרת שיש להן ילדים בחינוך מיוחד ועברו *וועדת איפיון (השמה) השנה* אשמח לדבר אתכן בפרטי מידע חשוב ונחוץ בבקשה.,m:4953,8
אבחון דיד,אבחון והערכה,אבחון,,,,,"כמדומני לצורך תוספת זמן אין צורך באבחון פסיכודידקטי, מספיק אבחון דידקטי, מצד שני לא די באבחון דידקטי מאז שנת 2021, צריך שבית הספר יבחן את התלמידים פעם עם ופעם בלי תוספת זמן בכל מקצוע ויראה שתוספת הזמן אכן מטיבה עם הציון. ||| כמדומני לצורך תוספת זמן אין צורך באבחון פסיכודידקטי, מספיק אבחון דידקטי, מצד שני לא די באבחון דידקטי מאז שנת 2021, צריך שבית הספר יבחן את התלמידים פעם עם ופעם בלי תוספת זמן בכל מקצוע ויראה שתוספת הזמן אכן מטיבה עם הציון.",m:33965,7
אבחון ADOS,אבחון והערכה,ADOS,,,,,"בלאומית יש אבחון ADOS לגיל הזה, רק שגם הפסיכיאטרית המחוזית חושבת שאין רכיב מגדרי באבחון תקשורת <ההודעה נערכה> ||| לאבחון ADOS בקופה ניתן לגשת רק בהמלצה של פסיכיאטר או רופא התפתחות",m:41935,2
