שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
ניצן — סניף תל אביב,ארגונים ועמותות,אבחון ותמיכה בלקויות למידה ואוטיזם בתפקוד גבוה,5-25,תל אביב,03-5371046,https://nitzan-israel.org.il/,"ניצן ת""א — אבחון דידקטי, פסיכודידקטי וטיפול לילדים על הרצף בתפקוד גבוה. 40 סניפים ארציים.",research:center,1
ניצן — סניף רעננה,ארגונים ועמותות,אבחון לקויות למידה,5-25,רעננה,09-7491770,https://nitzan-israel.org.il/,סניף ניצן רעננה לטיפול ואבחון של ילדים ובוגרים עם לקויות למידה ואספרגר.,research:center,1
פורום משפחות מיוחדות – נחמיה רובין,ארגונים ועמותות,אקטיביזם וזכויות,כל הגילאים,ארצי,,https://docs.google.com/forms/d/1o0XqxkcE_y0lEhsHbbKRgpwhn_6sVbqSu9e1kbQyb9M/edit,"נחמיה רובין אקטיביסט חברתי ארצי – מייסד ויו""ר פורום משפחות מיוחדות",chunk_011 m:38805,1
מיכל ברקוביץ בר,ארגונים ועמותות,אקטיביסטית ומרצה אוטיסטית,10+,ארצי (אונליין),,https://forms.gle/KEkosqaZWSnh9B749,"מיכל ברקוביץ בר - אוטיסטית, אמא, אשת חינוך, מרצה ואקטיביסטית. מנהלת קבוצת 'אוטיסטים/ות ושאר ירקות'. בקרוב יצא הספר 'אוטיזם - תתחילו כאן'.",chunk_021:j:23747,1
"אס""י - פעילי הקהילה האוטיסטית בישראל",ארגונים ועמותות,ארגון אוטיסטים עצמאי,כל הגילאים,ארצי,,,"פעילה ב'מרוצפות - אוטיסטיות כותבות' וב'אס""י - פעילי הקהילה האוטיסטית בישראל'.",chunk_021:j:23747,1
ג'וינט ישראל — מעבר למוגבלות,ארגונים ועמותות,ארגון בינלאומי,בוגרים,ירושלים ועוד,,,"דירות שותפים בירושלים, בהם יגורו סטודנטים ממוסדות אקדמיים שונים בעיר, יחד עם אנשים עם מוגבלות",chunk_016:j:2006,1
אקים מטה ארצי — תל אביב,ארגונים ועמותות,ארגון גג למוגבלות שכלית,all,תל אביב,03-7610999,https://www.akim.org.il/,מטה אקים — סיוע למשפחות עם בן משפחה עם אוטיזם ומוגבלות שכלית התפתחותית.,research:center,1
אקים ישראל,ארגונים ועמותות,ארגון לאנשים עם מוגבלות שכלית,,ארצי,,https://akim.org.il/dentistry,יש אפשרות של טיפולי שיניים דרך אקים- עם התמחות לאנשים עם צרכים מיוחדים. מצרפת את דף המידע שבו תוכלו למצוא את המרפאות בירושלים וכן מחירון,chunk_018:j:10434,1
התנועה לעצמאות,ארגונים ועמותות,ארגון לקידום עצמאות אנשים עם מוגבלות,18+,ארצי,054-4998290,,"הרצאה של רוני אפשטיין - 'טכנולוגיה תומכת חיים עצמאיים' כיצד ניתן לרתום טכנולוגיה לקידום חיים עצמאיים, מטעם התנועה לעצמאות.",chunk_022:j:26540,1
ארגון קשר (למשפחות מיוחדות),ארגונים ועמותות,ארגון מטה למשפחות מיוחדות / עמותה לאוטיזם / עמותת תמיכה / עמותת זכויות / תעסוקה הורים / תמיכה קהילתית ומיצוי זכויות,כל הגילאים / ילדים / הורים / הורים בוגרים,ארצי / אונליין / ארצי (זום) / ירושלים / ירושלים (ארצי),1-700-501-601,https://www.kesher.org.il,ממליצה להתקשר לאירגון קשר ולברר איתם. פעמים רבות הם גם מתערבים... מיזם משותף של מחלקת שיקום באגף הרווחה של עיריית ירושלים וארגון קשר,m:800,7
OTI – ארגון אוטיסטים ישראל,ארגונים ועמותות,ארגון עצמי של אוטיסטים,18+,ארצי,,https://oti.org.il/zoom-bogrim-jan1,"אוטיסטים ואנשים עם מוגבלויות (מעל גיל 18), בואו נפתח את השנה עם הרצאה צבעונית ומעניינת! כל מה שרציתם לדעת על קומיקס.","chunk_020:j18010,j18046",1
"שק""ל — שילוב קהילתי לאנשים עם מוגבלויות",ארגונים ועמותות,ארגון שיקום תעסוקתי / דיור בקהילה — בית לחיים / עמותה לדיור ותעסוקה / אבחון אוטיזם לבוגרים / מרכז טיפולי לאנשים עם מוגבלות,בוגרים / 18+,ארצי / ירושלים / ירושלים (רמת שלמה ועוד) / ירושלים — הר הצופים,,https://www.shekel.org.il,אנחנו מעוניינים לפתוח בירושלים גם מודל מהסוג השני על ידי עמותת גוונים. כרגע בירושלים מתקיים רק המודל מהסוג הראשון של בית לחיים שרובו מרוכז על ידי שקל,chunk_016:j:2006,5
קרן בריאה – הכרטיס הסגול,ארגונים ועמותות,בריאות ונגישות,בוגרים,ארצי,0543379233,https://www.briah.org/pcard,"שמחה לשתף אתכן ביוזמה חדשה של קרן בריאה עם היפ""ם למי שעברו פגיעה מינית ומתקשות להגיע לטיפול רפואי: הכרטיס הסגול",chunk_011 m:39710,1
עמותת גוונים,ארגונים ועמותות,דיור / תעסוקה ופנאי לאנשים עם מוגבלות / מכינה לחיים עצמאיים / דיור בקהילה,18-30,שדרות / מודיעין / רמת גן / ראשון לציון / ירושלים (זכו במכרז ירושלים),,,המכינה לחיים העצמאיים — דרור — תכנית דיור בקהילה עבור צעירים על הרצף האוטיסטי בתפקוד גבוה. מופעלת על ידי עמותת גוונים. כיום 4 סניפים.,chunk_017:j:6453,3
משתלבים ברצף (קבוצה/ארגון),ארגונים ועמותות,דף פייסבוק / ארגון,כל הגילאים,,,https://www.facebook.com/asd.mishtalvim,מהדף של משתלבים ברצף... קצבת נכות כללית (לבוגרים מגיל 18): https://www.facebook.com/asd.mishtalvim/posts/...,m:1124,1
"עמותת אהב""ה",ארגונים ועמותות,הדרכות ומידע להורים,,ארצי,,,"עמותת אהב""ה מקיימת הרצאה נוספת בנושא: אפוטרופסות מגיל 18 בהדרכת עו""ד אמנון פיארן",chunk_017:j:6769,1
מרכז לוינסקי לפיתוח והכשרה באוטיזם,ארגונים ועמותות,הכשרה,אנשי חינוך והורים,תל אביב,,https://www.levinsky.ac.il/program/%D7%9C%D7%99%D7%9E%D7%95%D7%93%D7%99-%D7%AA%D7%A2%D7%95%D7%93%D7%94-%D7%95%D7%A4%D7%99%D7%AA%D7%95%D7%97-%D7%9E%D7%A7%D7%A6%D7%95%D7%A2%D7%99,"מרכז במרכז האקדמי לוינסקי-וינגייט שפועל להכשרת הורים, צוותי חינוך וצוותים טיפוליים העובדים עם תלמידים על הספקטרום. מציע קורסים והכשרות ייעודיות.",web-research: https://www.levinsky.ac.il/,1
עדי נבון - קורסים להורים ואנשי מקצוע,ארגונים ועמותות,הכשרה וקורסים להורים,"ילדים, מתבגרים",אונליין,,https://adikarifnaon.ravpage.co.il/limudim,"קורס הכנה לשנת לימודים, כיתה א' וכל כיתה גם ז' וגם י'. מתאים להורים ולאנשי מקצוע בתחום",chunk_013:m45357-m45882,1
"ארגון אופק — שירות לאומי בבתי""ס תקשורת בדרום",ארגונים ועמותות,"השמת בנות שירות לאומי לבתי""ס תקשורת",all (תלמידים),"באר שבע, נגב",ממתין לאימות,https://ofekmashu.org.il/,"משבצים בנות שירות לאומי בבתי ספר רעים, שחר, אופק וכו'. תמיכה תפקודית לתלמידים על הרצף.",research:south,1
מרכז מפנה — ראש פינה,ארגונים ועמותות,התערבות מוקדמת,0-2,ראש פינה,,https://mifne-autism.com,מרכז ייחודי שהוקם ב-1987 — הראשון בישראל להתערבות טיפולית מוקדמת באוטיזם של הינקות. מטפל בתינוקות עד גיל 2 יחד עם המשפחה הגרעינית. שיטת 'מפנה' מוכרת בינלאומית. מעקב מראה 88.3% תפקוד מלא במסגרות רגילות.,web-research: https://mifne-autism.com/,1
אקים — ארגון לבוגרים עם אי.קיו נמוך ומוגבלות שכלית,ארגונים ועמותות,זכויות ומיצוי,ילדים ובוגרים,ארצי,,https://akim.org.il,הפנתה אלי אמא שמחפשת מטפלת לאזור בית שמש; אקים מפעיל שירות משפטי לקצבת שארים בפנסיה.,m:25884,1
"חמ""ל האפוד הסגול",ארגונים ועמותות,"חמ""ל חירום",כל הגילאים,ארצי,054-7787108,https://purple-vest.net/he,"חמ""ל האפוד הסגול נפתח ופועל למען אנשים עם מוגבלות ואזרחים ותיקים",chunk_015:m:53455,1
מרכז מילמן — חיפה,ארגונים ועמותות,טיפול הוליסטי,ילדים + משפחות,חיפה,04-8227560,https://www.milman-center.org.il,"מרכז לטיפול בילדים על רצף האוטיזם. הוקם 1992. מקיף מעון יום שיקומי, יחידת אבחון, טיפולים בגנים, טיפולים פרטיים. גישה פסיכולוגית-התפתחותית עם ההורים כדמויות משמעותיות. שיטות טיפול רבות בארץ צמחו ממנה.",web-research: https://www.milman-center.org.il/,1
שווים — חדשות לאנשים עם מוגבלות,ארגונים ועמותות,מדיה ועיתונאות נגישה / מידע וזכויות,כל הגילאים,ארצי,,https://shavvim.co.il,תודה לשווים - חדשות לאנשים עם מוגבלות על הסיוע בהבאה לציבור,chunk_017:j:5845,2
המרכז הלאומי לחקר אוטיזם — אוניברסיטת בן-גוריון ושורוקה,ארגונים ועמותות,מחקר ואבחון,כל הגילאים,באר שבע,,https://www.autismisrael.org,המרכז אזריאלי הלאומי לחקר אוטיזם והתפתחות מוחית — שיתוף פעולה בין בן-גוריון לסורוקה. מחקר טרנסלציוני לשיפור אבחון והתערבות. קיבל מענק $13M מקרן אזריאלי.,web-research: https://www.autismisrael.org/,1
מרכז מרות לאוטיזם — תל אביב סוראסקי,ארגונים ועמותות,מחקר ואבחון,ילדים ונוער,תל אביב,,https://www.tasmc.org.il,"מרכז אבחון וטיפול בתוך מכון התפתחות הילד בבית החולים לילדים ע""ש דנה-דואק בסוראסקי ת""א. ב-2024 העריך 314 ילדים בחשד לאוטיזם (114 בנות, 200 בנים).",web-research: https://www.tasmc.org.il/,1
מנהיגות נשים עם מוגבלות – בית איזי שפירא,ארגונים ועמותות,מחקר ושיוויון,נשים בוגרות,ארצי,052-2206698 / 052-6352153,,"מחקר שעשינו אנו, מנהיגות נשים עם מוגבלות מבית איזי שפירא, מראה שנשים עם מוגבלויות שונות פונות פחות לשירותי בריאות.",chunk_011 m:39668,1
קפה דניה,ארגונים ועמותות,מקום מפגש קהילתי / מפגשי הורים,מבוגרים (הורים) / הורים,בית הכרם / ירושלים / ירושלים — בית הכרם,,,"המפגשים על כוס קפה בקפה דניה, נתנו ונותנים לי תחושה של יחד של שייכות.",chunk_011 m:38957; chunk_012 m:43040,2
פודקאסט 'הורות על הרצף',ארגונים ועמותות,מקור מידע,הורים לילדים על הרצף,אונליין,,https://creators.spotify.com/pod/profile/horutalharetzef,"פודקאסט ישראלי שנוצר להגיע לכל הורה לילד מיוחד שזקוק לתמיכה. שיחות בעומק על הורות על הספקטרום, תובנות מהשטח, ראיונות עם אנשי מקצוע.",web-research: https://creators.spotify.com/pod/profile/horutalharetzef,1
פודקאסט 'על הרצף',ארגונים ועמותות,מקור מידע,הורים ואנשי מקצוע,אונליין,,https://open.spotify.com/show/4QBHQc0R6FgLli0OdlYUGC,"פודקאסט ישראלי שעוסק בשאלות ונושאים שמעניינים הורים לילדים על הרצף האוטיסטי. ראיונות עם מומחים, סיפורי משפחות.",web-research: https://open.spotify.com/show/4QBHQc0R6FgLli0OdlYUGC,1
"אפ""י — מרכז הארץ לאוטיזם",ארגונים ועמותות,מרכז אוטיזם ואספרגר,כל הגילאים,ארצי,,https://asperger.org.il/%d7%90%d7%91%d7%97%d7%95%d7%9f/%d7%9e%d7%a8%d7%9b%d7%96-%d7%94%d7%90%d7%a8%d7%a5,"מאבחנים לפי אפ""י",chunk_009:m33058,1
"אלו""ט — בית לורן (מרכז משפחה ארצי, פעיל בחיפה וכרמיאל)",ארגונים ועמותות,מרכז משפחה לאוטיזם,all,"חיפה, כרמיאל ועוד",03-6709094,https://alut.org.il/services/family-centers/,"קו פתוח בהתנדבות הורים. הרצאות, קבוצות תמיכה, ייעוץ. הוקם 2000 לזכרה של לורן הוזמי ז""ל.",research:north-v2,1
"מרכז למשפחה אלו""ט — באר שבע (בית לורן)",ארגונים ועמותות,"מרכז משפחות אזורי של אלו""ט",all,באר שבע,08-6431528,https://alut.org.il/services/family-centers/,"מרכז מידע, ייעוץ וזכויות למשפחות בדרום. אילן רמון 20, באר שבע. שייך לאלו""ט.",research:south,1
JLM Spark Center,ארגונים ועמותות,מרכז קהילתי,מגוון,ירושלים,,https://jlmsparkcenter.org/communities,,chunk_011 m:39045,1
"מתי""א רן",ארגונים ועמותות,מרכז תמיכה ומידע להורים / מרכז תמיכה חינוכי / מידע ותמיכה בחינוך מיוחד,ילדים ונוער / כל הגילאים,ארצי,,https://edu-il.zoom.us/j/87600671241 / http://www.rn.edu1.org.il/BRPortal/br / https://P102.jsp?arc=2107156,"החוברת זמינה לצפייה באתר מתי""א רן (בו ניתן למצוא מאגרי מידע רבים נוספים בנושא).",chunk_017:j:6517,3
"מרכז למשפחה — אלו""ט",ארגונים ועמותות,מרכז תמיכה למשפחות,כל הגילאים,ארצי,,,"המרכז, אשר מעניק תמיכה ליווי וייעוץ לעשרות אלפי משפחות של ילדים ובוגרים על רצף האוטיזם בשנה, ייסגר החל מיום 01/02/24",chunk_009:m32706,1
עמותת נגישות ישראל – האפוד הסגול,ארגונים ועמותות,נגישות ומצבי חירום,כל הגילאים,ארצי,054-7787108 / 054-7786497,https://forms.monday.com/forms/ca7293d739b3f0168790931aba585fab,חמל האפוד הסגול של עמותת נגישות ישראל שמסייע עוזר ומפנה אנשים עם מוגבלות במצבי חירום.,chunk_012 m:42365,1
עמותת מקומות שמורים,ארגונים ועמותות,נגישות ופנאי / פנאי ותיאטרון נגיש,מבוגרים / ילדים,ארצי / ירושלים,,https://www.israel-festival.org/נגישות-פסטיבל-ישראל-2023 / https://traintheater.co.il/he/repertoire,"פסטיבל ישראל משתף פעולה עם עמותת מקומות שמורים, במטרה לענות על צרכי הנגשה שונים לקהל מבוגר ממגוון נוירולוגי.",chunk_019:j14428,2
נגישות ישראל — האפוד הסגול,ארגונים ועמותות,נגישות חירום,כל הגילאים,ארצי,054-7787108,https://purple-vest.net/he,"חמ""ל האפוד הסגול נפתח ופועל למען אנשים עם מוגבלות ואזרחים ותיקים... הסיוע ניתן בחינם","chunk_024 j:33908, j:34843",1
