שם,קטגוריה,תת-קטגוריה,גילאים,אזור,טלפון,אתר,הקשר/ציטוט,מקור,תדירות אזכור
ארגון בזכות — מרכז לזכויות אדם של אנשים עם מוגבלות,זכויות ורווחה,ארגון זכויות / ארגון מגדרי לנשים עם מוגבלות / ארגון זכויות לאנשים עם מוגבלות / ארגון זכויות אנשים עם מוגבלות,נשים בוגרות / כל הגילאים,ארצי,,https://www.facebook.com/bizchut,"ארגון בזכות עתר כנגד הנוהל שהתיר קשירה. ארגון בזכות הוא ארגון לא פוליטי, הוא עוסק בזכויות אנשים עם מוגבלות.",chunk_017:j:6168,5
נגישות ישראל,זכויות ורווחה,ארגון נגישות,כל הגילאים,ארצי,,https://docs.google.com/forms/d/e/1FAIpQLSf0NPOd1UABt3HOfsVoAKITihsfN_m3nYf40f4_E8Yu6k8g1A/viewform,"חשוב ביותר בבקשה למלא את הסקר. יובל וגנר יו""ר נגישות ישראל.",chunk_021:j:23404,2
שווים,זכויות ורווחה,אתר מידע,כל הגילאים,ארצי,,https://shavvim.co.il,"""שאלו בנפשכם: מדריך לזכאות עבור אוטיסטים עם התמודדות נפש""",chunk_015:m:53841,1
כל-זכות,זכויות ורווחה,אתר מידע / מידע זכויות,כל הגילאים,ארצי,,https://www.kolzchut.org.il,פטור מתשלום למלווה של אדם עם מוגבלות בכניסה למקום ציבורי (זכות) – כל-זכות,chunk_015:m:52308,2
ביטוח לאומי - מוקד זכויות,זכויות ורווחה,גמלאות ונכות,כל הגילאים,ארצי,,http://www.btl.gov.il/snifim/Pages/yadMechavenet1.aspx,קוראים לזה חונכת. מגיע לכם מימון מהרווחה. למצא סטודנטית לריפוי בעיסוק או קלינאות תקשורת,chunk_013:m45848,1
מנהל מוגבלויות,זכויות ורווחה,דיור ושירותים,18+,ארצי,,,מדובר באחד השירותים הבודדים שמנהל מוגבלויות נותן ללא השתתפות כספית של האדם,chunk_023 j:30264,1
הנחת ארנונה לנכה,זכויות ורווחה,הטבה,כל הגילאים,ארצי,,https://www.kolzchut.org.il/he/הנחה_בארנונה,,web-research: kolzchut + משרד הפנים,1
פטור ממס הכנסה — סעיף 9(5) + נקודות זיכוי,זכויות ורווחה,הטבה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/israel_tax_authority,,web-research: רשות המסים,1
תו חניה לנכה + פטור מאגרת רישוי,זכויות ורווחה,הטבה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/topics/parking-permit,,web-research: משרד התחבורה,1
"תו נכה — פטור ממ""ע ואגרות",זכויות ורווחה,הטבה,כל הגילאים,ארצי,,https://www.gov.il/he/departments/topics/disability_discount_cars,,web-research: רשות המסים + משרד התחבורה,1
